Tabelle: 52411-0018
Insolvenzverfahren (Unternehmen): Deutschland, Monate,;;;;
Beantragte Verfahren, Wirtschaftszweige (Abschnitte);;;;
Statistik über beantragte Insolvenzverfahren;;;;;;;
Deutschland;;;;;;;
Insolvenzverfahren (Unternehmen) (Anzahl);;;;;;;
;;Beantragte Verfahren;;;;;
;;eröffnet;;mangels Masse abgewiesen;;Schuldenbereinigungsplan angenommen;
2020;;;;;;;
Januar;;;;;;;
WZ08-C;Verarbeitendes Gewerbe;82;e;24;e;x;
WZ08-D;Energieversorgung;5;e;-;;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;4;e;-;;x;
WZ08-F;Baugewerbe;203;e;61;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;144;e;55;e;x;
WZ08-H;Verkehr und Lagerei;86;e;19;e;x;
WZ08-I;Gastgewerbe;112;e;47;e;x;
WZ08-J;Information und Kommunikation;28;e;14;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;17;e;15;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;27;e;10;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;107;e;56;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;115;e;32;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;17;e;-;;x;
WZ08-Q;Gesundheits- und Sozialwesen;29;e;6;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;25;e;12;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;70;e;22;e;x;
April;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;8;e;-;;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;100;e;8;e;x;
WZ08-D;Energieversorgung;8;e;2;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;1;e;1;e;x;
WZ08-F;Baugewerbe;156;e;59;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;134;e;61;e;x;
WZ08-H;Verkehr und Lagerei;70;e;18;e;x;
WZ08-I;Gastgewerbe;91;e;40;e;x;
WZ08-J;Information und Kommunikation;34;e;21;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;16;e;14;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;23;e;19;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;82;e;44;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;108;e;34;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;18;e;5;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;43;e;4;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;22;e;11;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;54;e;24;e;x;
Mai;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;6;e;1;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;68;e;12;e;x;
WZ08-D;Energieversorgung;4;e;1;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;1;e;1;e;x;
WZ08-F;Baugewerbe;137;e;43;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;113;e;55;e;x;
WZ08-H;Verkehr und Lagerei;53;e;25;e;x;
WZ08-I;Gastgewerbe;74;e;40;e;x;
WZ08-J;Information und Kommunikation;22;e;16;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;14;e;10;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;28;e;14;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;67;e;50;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;93;e;40;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;7;e;3;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;12;e;5;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;10;e;8;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;58;e;25;e;x;
Juni;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;7;e;1;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;61;e;13;e;x;
WZ08-D;Energieversorgung;10;e;2;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;3;e;-;;x;
WZ08-F;Baugewerbe;155;e;61;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;140;e;61;e;x;
WZ08-H;Verkehr und Lagerei;53;e;21;e;x;
WZ08-I;Gastgewerbe;91;e;31;e;x;
WZ08-J;Information und Kommunikation;24;e;9;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;24;e;4;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;26;e;12;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;65;e;49;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;92;e;39;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;11;e;4;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;22;e;6;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;19;e;14;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;51;e;16;e;x;
Juli;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;8;e;-;;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;59;e;18;e;x;
WZ08-D;Energieversorgung;5;e;3;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;2;e;-;;x;
WZ08-F;Baugewerbe;161;e;61;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;137;e;52;e;x;
WZ08-H;Verkehr und Lagerei;53;e;23;e;x;
WZ08-I;Gastgewerbe;86;e;38;e;x;
WZ08-J;Information und Kommunikation;30;e;17;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;10;e;15;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;25;e;9;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;78;e;53;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;83;e;39;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;11;e;3;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;26;e;4;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;19;e;2;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;53;e;17;e;x;
August;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;2;e;1;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;47;e;17;e;x;
