Tabelle: 52411-0013
Insolvenzverfahren (Unternehmen), Voraussichtliche;;;
Forderungen (Unternehmen), Arbeitnehmer: Deutschland,;;;
Monate, Unternehmensgrößenklassen;;;
Statistik über beantragte Insolvenzverfahren;;;;;;
Deutschland;;;;;;
;Insolvenzverfahren (Unternehmen);;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Anzahl
2020;;;;;;
2 bis 5 Arbeitnehmer;112;e;30855;e;358;e
6 bis 10 Arbeitnehmer;50;e;22136;e;374;e
11 bis 100 Arbeitnehmer;54;e;64858;e;1341;e
Über 100 Arbeitnehmer;4;e;61525;e;910;e
Unbekannt oder kein Arbeitnehmer;735;e;8028432;e;x;
Insgesamt;1029;e;8223274;e;3057;e
September;;;;;;
1 Arbeitnehmer;82;e;10891;e;82;e
2 bis 5 Arbeitnehmer;118;e;92788;e;371;e
6 bis 10 Arbeitnehmer;55;e;30679;e;414;e
11 bis 100 Arbeitnehmer;68;e;146094;e;1980;e
Über 100 Arbeitnehmer;9;e;97694;e;1704;e
Unbekannt oder kein Arbeitnehmer;713;e;470791;e;x;
Insgesamt;1045;e;848937;e;4551;e
Oktober;;;;;;
1 Arbeitnehmer;76;e;23030;e;76;e
2 bis 5 Arbeitnehmer;124;e;46811;e;414;e
6 bis 10 Arbeitnehmer;72;e;110289;e;524;e
11 bis 100 Arbeitnehmer;79;e;316254;e;2265;e
Über 100 Arbeitnehmer;8;e;225166;e;3665;e
Unbekannt oder kein Arbeitnehmer;697;e;229413;e;x;
Insgesamt;1056;e;950963;e;6944;e
November;;;;;;
1 Arbeitnehmer;93;e;23936;e;93;e
2 bis 5 Arbeitnehmer;115;e;38905;e;350;e
6 bis 10 Arbeitnehmer;58;e;35491;e;448;e
11 bis 100 Arbeitnehmer;63;e;59533;e;1744;e
Über 100 Arbeitnehmer;8;e;72588;e;1457;e
Unbekannt oder kein Arbeitnehmer;757;e;294089;e;x;
Insgesamt;1094;e;524541;e;4092;e
Dezember;;;;;;
1 Arbeitnehmer;79;e;354044;e;79;e
2 bis 5 Arbeitnehmer;141;e;102850;e;449;e
6 bis 10 Arbeitnehmer;50;e;27168;e;400;e
11 bis 100 Arbeitnehmer;93;e;170417;e;2743;e
Über 100 Arbeitnehmer;9;e;199719;e;2724;e
Unbekannt oder kein Arbeitnehmer;789;e;465481;e;x;
Insgesamt;1161;e;1319680;e;6395;e
2022;;;;;;
Januar;;;;;;
1 Arbeitnehmer;93;e;24321;e;93;e
2 bis 5 Arbeitnehmer;127;e;60216;e;414;e
