Tabelle: 52411-0014
Insolvenzverfahren (Unternehmen), Arbeitnehmer: Deutschland,;;
Monate, Beantragte Verfahren;;
Statistik über beantragte Insolvenzverfahren;;;;
Deutschland;;;;
;Insolvenzverfahren (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Anzahl;Anzahl
2020;;;;
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1785;e;16052;e
März;;;;
eröffnet;1322;e;11347;e
mangels Masse abgewiesen;480;e;309;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1802;e;11656;e
April;;;;
eröffnet;1385;e;32325;e
mangels Masse abgewiesen;521;e;232;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1906;e;32557;e
Mai;;;;
eröffnet;1448;e;14232;e
mangels Masse abgewiesen;486;e;541;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1934;e;14773;e
Juni;;;;
eröffnet;1179;e;10609;e
mangels Masse abgewiesen;474;e;214;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1653;e;10823;e
Juli;;;;
eröffnet;1379;e;11688;e
mangels Masse abgewiesen;558;e;362;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1937;e;12050;e
August;;;;
eröffnet;1237;e;11829;e
mangels Masse abgewiesen;527;e;268;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1764;e;12097;e
September;;;;
eröffnet;1273;e;17814;e
mangels Masse abgewiesen;546;e;294;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1819;e;18108;e
Oktober;;;;
eröffnet;1431;e;11268;e
mangels Masse abgewiesen;581;e;298;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;2012;e;11566;e
November;;;;
eröffnet;1245;e;10804;e
mangels Masse abgewiesen;542;e;200;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1787;e;11004;e
Dezember;;;;
eröffnet;1276;e;13899;e
mangels Masse abgewiesen;515;e;414;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1791;e;14313;e
2025;;;;
Januar;;;;
eröffnet;1256;e;13618;e
mangels Masse abgewiesen;574;e;309;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1830;e;13927;e
Februar;;;;
eröffnet;1452;e;19479;e
mangels Masse abgewiesen;616;e;349;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;2068;e;19828;e
März;;;;
eröffnet;1426;e;14444;e
mangels Masse abgewiesen;567;e;310;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1993;e;14754;e
April;;;;
eröffnet;1488;e;15275;e
mangels Masse abgewiesen;637;e;385;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;2125;e;15660;e
Mai;;;;
eröffnet;1409;e;14291;e
mangels Masse abgewiesen;627;e;299;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;2036;e;14590;e
Juni;;;;
eröffnet;1346;e;13177;e
mangels Masse abgewiesen;611;e;266;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1957;e;13443;e
Juli;;;;
eröffnet;1482;e;10935;e
mangels Masse abgewiesen;715;e;385;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;2197;e;11320;e
August;;;;
eröffnet;1336;e;10699;e
mangels Masse abgewiesen;643;e;396;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1979;e;11095;e
September;;;;
eröffnet;1356;e;15134;e
mangels Masse abgewiesen;584;e;269;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1940;e;15403;e
Oktober;;;;
eröffnet;1458;e;13922;e
mangels Masse abgewiesen;650;e;453;e
