Datum,Jahr,Monat,Monatsnummer,Groessenklasse,Insolvenzen,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2022-09,2022,September,9,1 Arbeitnehmer,103,166357,103.0
2022-09,2022,September,9,2 bis 5 Arbeitnehmer,169,59219,542.0
2022-09,2022,September,9,6 bis 10 Arbeitnehmer,66,35817,502.0
2022-09,2022,September,9,11 bis 100 Arbeitnehmer,109,197797,2874.0
2022-09,2022,September,9,Über 100 Arbeitnehmer,13,168315,2932.0
2022-09,2022,September,9,Unbekannt oder kein Arbeitnehmer,769,406977,
2022-10,2022,Oktober,10,1 Arbeitnehmer,122,17113,122.0
2022-10,2022,Oktober,10,2 bis 5 Arbeitnehmer,156,71123,476.0
2022-10,2022,Oktober,10,6 bis 10 Arbeitnehmer,51,29729,398.0
2022-10,2022,Oktober,10,11 bis 100 Arbeitnehmer,113,222319,3001.0
2022-10,2022,Oktober,10,Über 100 Arbeitnehmer,11,182039,2326.0
2022-10,2022,Oktober,10,Unbekannt oder kein Arbeitnehmer,792,280262,
2022-11,2022,November,11,1 Arbeitnehmer,106,29480,106.0
2022-11,2022,November,11,2 bis 5 Arbeitnehmer,167,73130,543.0
2022-11,2022,November,11,6 bis 10 Arbeitnehmer,72,64285,557.0
2022-11,2022,November,11,11 bis 100 Arbeitnehmer,125,191179,3647.0
2022-11,2022,November,11,Über 100 Arbeitnehmer,11,485415,4445.0
2022-11,2022,November,11,Unbekannt oder kein Arbeitnehmer,831,612429,
2022-12,2022,Dezember,12,1 Arbeitnehmer,118,36626,118.0
2022-12,2022,Dezember,12,2 bis 5 Arbeitnehmer,175,59552,555.0
2022-12,2022,Dezember,12,6 bis 10 Arbeitnehmer,86,58153,671.0
2022-12,2022,Dezember,12,11 bis 100 Arbeitnehmer,146,520399,4274.0
2022-12,2022,Dezember,12,Über 100 Arbeitnehmer,20,248248,5188.0
2022-12,2022,Dezember,12,Unbekannt oder kein Arbeitnehmer,845,820870,
2023-01,2023,Januar,1,1 Arbeitnehmer,118,23849,118.0
2023-01,2023,Januar,1,2 bis 5 Arbeitnehmer,163,41517,531.0
2023-01,2023,Januar,1,6 bis 10 Arbeitnehmer,69,68564,530.0
2023-01,2023,Januar,1,11 bis 100 Arbeitnehmer,101,565839,2883.0
2023-01,2023,Januar,1,Über 100 Arbeitnehmer,15,812402,4538.0
2023-01,2023,Januar,1,Unbekannt oder kein Arbeitnehmer,805,760791,
2023-02,2023,Februar,2,1 Arbeitnehmer,109,17639,109.0
2023-02,2023,Februar,2,2 bis 5 Arbeitnehmer,172,40070,567.0
2023-02,2023,Februar,2,6 bis 10 Arbeitnehmer,103,59785,785.0
2023-02,2023,Februar,2,11 bis 100 Arbeitnehmer,127,241030,3968.0
2023-02,2023,Februar,2,Über 100 Arbeitnehmer,25,1996169,28397.0
2023-02,2023,Februar,2,Unbekannt oder kein Arbeitnehmer,826,795532,
2023-03,2023,März,3,1 Arbeitnehmer,126,49578,126.0
2023-03,2023,März,3,2 bis 5 Arbeitnehmer,200,80860,615.0
2023-03,2023,März,3,6 bis 10 Arbeitnehmer,97,116993,744.0
2023-03,2023,März,3,11 bis 100 Arbeitnehmer,150,386818,4465.0
2023-03,2023,März,3,Über 100 Arbeitnehmer,15,155764,3262.0
2023-03,2023,März,3,Unbekannt oder kein Arbeitnehmer,896,452114,
2023-04,2023,April,4,1 Arbeitnehmer,111,21988,111.0
2023-04,2023,April,4,2 bis 5 Arbeitnehmer,154,59295,517.0
2023-04,2023,April,4,6 bis 10 Arbeitnehmer,84,39257,628.0
2023-04,2023,April,4,11 bis 100 Arbeitnehmer,206,538674,7161.0
2023-04,2023,April,4,Über 100 Arbeitnehmer,33,148942,8866.0
2023-04,2023,April,4,Unbekannt oder kein Arbeitnehmer,840,514791,
2023-05,2023,Mai,5,1 Arbeitnehmer,126,26323,126.0
2023-05,2023,Mai,5,2 bis 5 Arbeitnehmer,182,60127,573.0
2023-05,2023,Mai,5,6 bis 10 Arbeitnehmer,106,84466,797.0
2023-05,2023,Mai,5,11 bis 100 Arbeitnehmer,143,550820,3750.0
2023-05,2023,Mai,5,Über 100 Arbeitnehmer,10,262341,1976.0
2023-05,2023,Mai,5,Unbekannt oder kein Arbeitnehmer,911,3013239,
2023-06,2023,Juni,6,1 Arbeitnehmer,152,81872,152.0
2023-06,2023,Juni,6,2 bis 5 Arbeitnehmer,192,74145,619.0
2023-06,2023,Juni,6,6 bis 10 Arbeitnehmer,104,48342,806.0
2023-06,2023,Juni,6,11 bis 100 Arbeitnehmer,143,216767,4053.0
2023-06,2023,Juni,6,Über 100 Arbeitnehmer,17,847032,11232.0
2023-06,2023,Juni,6,Unbekannt oder kein Arbeitnehmer,940,634849,
2023-07,2023,Juli,7,1 Arbeitnehmer,136,26516,136.0
2023-07,2023,Juli,7,2 bis 5 Arbeitnehmer,225,421870,698.0
2023-07,2023,Juli,7,6 bis 10 Arbeitnehmer,88,127747,660.0
2023-07,2023,Juli,7,11 bis 100 Arbeitnehmer,168,992314,5429.0
2023-07,2023,Juli,7,Über 100 Arbeitnehmer,20,598398,6367.0
2023-07,2023,Juli,7,Unbekannt oder kein Arbeitnehmer,949,920076,
2023-08,2023,August,8,1 Arbeitnehmer,141,72124,141.0
2023-08,2023,August,8,2 bis 5 Arbeitnehmer,181,66671,585.0
2023-08,2023,August,8,6 bis 10 Arbeitnehmer,89,61885,674.0
2023-08,2023,August,8,11 bis 100 Arbeitnehmer,161,465474,4414.0
