Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt,mangel_ratio,Aktive_Unternehmen,Insolvenzrate_Pct
2020-08,2020,August,8,WZ08-I,Gastgewerbe,71.0,52.0,123.0,73.2,249623.0,0.0284
2020-08,2020,August,8,WZ08-J,Information und Kommunikation,23.0,11.0,34.0,47.8,141586.0,0.0162
2020-08,2020,August,8,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,21.0,10.0,31.0,47.6,90990.0,0.0231
2020-08,2020,August,8,WZ08-L,Grundstücks- und Wohnungswesen,18.0,13.0,31.0,72.2,209412.0,0.0086
2020-08,2020,August,8,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",56.0,47.0,103.0,83.9,522619.0,0.0107
2020-08,2020,August,8,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,81.0,48.0,129.0,59.3,238577.0,0.034
2020-08,2020,August,8,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-08,2020,August,8,WZ08-P,Erziehung und Unterricht,5.0,5.0,10.0,100.0,95206.0,0.0053
2020-08,2020,August,8,WZ08-Q,Gesundheits- und Sozialwesen,23.0,6.0,29.0,26.1,269714.0,0.0085
2020-08,2020,August,8,WZ08-R,"Kunst, Unterhaltung und Erholung",11.0,11.0,22.0,100.0,106340.0,0.0103
2020-08,2020,August,8,WZ08-S,Erbringung von sonstigen Dienstleistungen,31.0,21.0,52.0,67.7,233493.0,0.0133
2020-09,2020,September,9,WZ08-A,"Land- und Forstwirtschaft, Fischerei",7.0,1.0,8.0,14.3,,
2020-09,2020,September,9,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,,2348.0,
2020-09,2020,September,9,WZ08-C,Verarbeitendes Gewerbe,80.0,15.0,95.0,18.8,230421.0,0.0347
2020-09,2020,September,9,WZ08-D,Energieversorgung,3.0,1.0,4.0,33.3,71592.0,0.0042
2020-09,2020,September,9,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,5.0,7.0,250.0,13195.0,0.0152
2020-09,2020,September,9,WZ08-F,Baugewerbe,98.0,50.0,148.0,51.0,390108.0,0.0251
2020-09,2020,September,9,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",97.0,45.0,142.0,46.4,680939.0,0.0142
2020-09,2020,September,9,WZ08-H,Verkehr und Lagerei,54.0,19.0,73.0,35.2,122113.0,0.0442
2020-09,2020,September,9,WZ08-I,Gastgewerbe,86.0,38.0,124.0,44.2,249623.0,0.0345
2020-09,2020,September,9,WZ08-J,Information und Kommunikation,26.0,9.0,35.0,34.6,141586.0,0.0184
2020-09,2020,September,9,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,13.0,13.0,26.0,100.0,90990.0,0.0143
2020-09,2020,September,9,WZ08-L,Grundstücks- und Wohnungswesen,26.0,13.0,39.0,50.0,209412.0,0.0124
2020-09,2020,September,9,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",63.0,48.0,111.0,76.2,522619.0,0.0121
2020-09,2020,September,9,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,94.0,43.0,137.0,45.7,238577.0,0.0394
2020-09,2020,September,9,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-09,2020,September,9,WZ08-P,Erziehung und Unterricht,9.0,,,,95206.0,0.0095
2020-09,2020,September,9,WZ08-Q,Gesundheits- und Sozialwesen,19.0,2.0,21.0,10.5,269714.0,0.007
2020-09,2020,September,9,WZ08-R,"Kunst, Unterhaltung und Erholung",19.0,14.0,33.0,73.7,106340.0,0.0179
