Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt
2020-06,2020,Juni,6,WZ08-D,Energieversorgung,4.0,,
2020-06,2020,Juni,6,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,4.0,7.0
2020-06,2020,Juni,6,WZ08-F,Baugewerbe,147.0,70.0,217.0
2020-06,2020,Juni,6,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",145.0,74.0,219.0
2020-06,2020,Juni,6,WZ08-H,Verkehr und Lagerei,42.0,24.0,66.0
2020-06,2020,Juni,6,WZ08-I,Gastgewerbe,124.0,43.0,167.0
2020-06,2020,Juni,6,WZ08-J,Information und Kommunikation,31.0,10.0,41.0
2020-06,2020,Juni,6,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,21.0,13.0,34.0
2020-06,2020,Juni,6,WZ08-L,Grundstücks- und Wohnungswesen,14.0,22.0,36.0
2020-06,2020,Juni,6,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",92.0,61.0,153.0
2020-06,2020,Juni,6,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,118.0,40.0,158.0
2020-06,2020,Juni,6,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-06,2020,Juni,6,WZ08-P,Erziehung und Unterricht,10.0,2.0,12.0
2020-06,2020,Juni,6,WZ08-Q,Gesundheits- und Sozialwesen,17.0,5.0,22.0
2020-06,2020,Juni,6,WZ08-R,"Kunst, Unterhaltung und Erholung",22.0,15.0,37.0
2020-06,2020,Juni,6,WZ08-S,Erbringung von sonstigen Dienstleistungen,50.0,23.0,73.0
2020-07,2020,Juli,7,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,3.0,9.0
2020-07,2020,Juli,7,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,
2020-07,2020,Juli,7,WZ08-C,Verarbeitendes Gewerbe,86.0,23.0,109.0
2020-07,2020,Juli,7,WZ08-D,Energieversorgung,3.0,1.0,4.0
2020-07,2020,Juli,7,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",,,
2020-07,2020,Juli,7,WZ08-F,Baugewerbe,136.0,68.0,204.0
2020-07,2020,Juli,7,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",153.0,75.0,228.0
2020-07,2020,Juli,7,WZ08-H,Verkehr und Lagerei,73.0,33.0,106.0
2020-07,2020,Juli,7,WZ08-I,Gastgewerbe,102.0,52.0,154.0
2020-07,2020,Juli,7,WZ08-J,Information und Kommunikation,21.0,10.0,31.0
