Datum,Jahr,Monat,Monatsnummer,Bundesland,Insolvenzen,Veraenderung_Vorjahr_Pct,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2024-10,2024,Oktober,10,Brandenburg,35.0,34.6,102449.0,397.0
2024-10,2024,Oktober,10,Bremen,15.0,-21.1,8963.0,207.0
2024-10,2024,Oktober,10,Hamburg,65.0,38.3,24445.0,812.0
2024-10,2024,Oktober,10,Hessen,148.0,45.1,482204.0,603.0
2024-10,2024,Oktober,10,Mecklenburg-Vorpommern,26.0,100.0,31891.0,365.0
2024-10,2024,Oktober,10,Niedersachsen,136.0,6.3,159793.0,861.0
2024-10,2024,Oktober,10,Nordrhein-Westfalen,492.0,26.8,365480.0,1007.0
2024-10,2024,Oktober,10,Rheinland-Pfalz,84.0,1.2,37763.0,317.0
2024-10,2024,Oktober,10,Saarland,27.0,12.5,4987.0,127.0
2024-10,2024,Oktober,10,Sachsen,73.0,35.2,243011.0,261.0
2024-10,2024,Oktober,10,Sachsen-Anhalt,28.0,-15.2,9605.0,149.0
2024-10,2024,Oktober,10,Schleswig-Holstein,143.0,150.9,72514.0,913.0
2024-10,2024,Oktober,10,Thüringen,27.0,3.8,22681.0,184.0
2024-11,2024,November,11,Baden-Württemberg,169.0,-1.7,124921.0,1055.0
2024-11,2024,November,11,Bayern,239.0,12.2,279610.0,875.0
2024-11,2024,November,11,Berlin,202.0,38.4,403743.0,639.0
2024-11,2024,November,11,Brandenburg,33.0,13.8,16762.0,231.0
2024-11,2024,November,11,Bremen,15.0,-11.8,5087.0,53.0
2024-11,2024,November,11,Hamburg,80.0,48.1,77382.0,268.0
2024-11,2024,November,11,Hessen,129.0,-2.3,563156.0,348.0
2024-11,2024,November,11,Mecklenburg-Vorpommern,16.0,-42.9,46350.0,174.0
2024-11,2024,November,11,Niedersachsen,169.0,56.5,198443.0,1634.0
2024-11,2024,November,11,Nordrhein-Westfalen,486.0,29.9,824001.0,3375.0
2024-11,2024,November,11,Rheinland-Pfalz,58.0,-17.1,26644.0,208.0
2024-11,2024,November,11,Saarland,23.0,15.0,7795.0,91.0
2024-11,2024,November,11,Sachsen,70.0,25.0,75140.0,685.0
2024-11,2024,November,11,Sachsen-Anhalt,33.0,50.0,25788.0,209.0
2024-11,2024,November,11,Schleswig-Holstein,46.0,-20.7,30516.0,149.0
2024-11,2024,November,11,Thüringen,19.0,35.7,62484.0,1010.0
2024-12,2024,Dezember,12,Baden-Württemberg,192.0,14.3,322252.0,2386.0
2024-12,2024,Dezember,12,Bayern,252.0,,579678.0,1478.0
2024-12,2024,Dezember,12,Berlin,143.0,1.4,845156.0,1332.0
